Neighborhood,Area,Walk_Score_Link,HomeAway_Link,Zillow,Zillow_Links
Boerum Hill,Boerum Hill,https://www.walkscore.com/NY/New_York/Boerum_Hill,https://www.homeaway.com/results/new-york/brooklyn/region:5166/page:1,http://www.zillow.com/homes/Boerum-Hill-New-York-NY_rb/,http://www.zillow.com/Boerum-Hill-New-York-NY/rentals/
Williamsburg,Williamsburg,https://www.walkscore.com/NY/New_York/Williamsburg,https://www.homeaway.com/results/refined/keywords:Williamsburg%2C+Brooklyn%2C+NY%2C+USA/page:1,http://www.zillow.com/homes/Williamsburg-New-York-NY_rb/,http://www.zillow.com/Williamsburg-New-York-NY/rentals/
Carroll Gardens,Brooklyn,https://www.walkscore.com/NY/New_York/Carroll_Gardens,https://www.homeaway.com/results/new-york/brooklyn/region:5166/page:1,http://www.zillow.com/homes/Carroll-Gardens-New-York-NY_rb/,http://www.zillow.com/Carroll-Gardens-New-York-NY/rentals/
Murray Hill,Murray Hill,https://www.walkscore.com/NY/New_York/Murray_Hill,https://www.homeaway.com/results/new-york/murray-hill/region:22546/page:1,http://www.zillow.com/homes/Midtown-New-York-NY_rb/,http://www.zillow.com/Midtown-New-York-NY/rentals/
Midtown East,Midtown East,https://www.walkscore.com/NY/New_York/Midtown_East,https://www.homeaway.com/results/new-york/turtle-bay/region:22556/page:1,http://www.zillow.com/homes/Midtown-New-York-NY_rb/,http://www.zillow.com/Midtown-New-York-NY/rentals/
Brooklyn Heights,Brooklyn,https://www.walkscore.com/NY/New_York/Brooklyn_Heights,https://www.homeaway.com/results/new-york/brooklyn/region:5166/page:1,http://www.zillow.com/homes/Brooklyn-Heights-New-York-NY_rb/,http://www.zillow.com/Brooklyn-Heights-New-York-NY/rentals/
Park Slope,Brooklyn,https://www.walkscore.com/NY/New_York/Park_Slope,https://www.homeaway.com/results/new-york/brooklyn/region:5166/page:1,http://www.zillow.com/homes/Park-Slope-New-York-NY_rb/,http://www.zillow.com/Park-Slope-New-York-NY/rentals/
Lower East Side,Lower East Side,https://www.walkscore.com/NY/New_York/Lower_East_Side,https://www.homeaway.com/results/new-york/lower-east-side/region:22543/page:1,http://www.zillow.com/homes/Lower-East-Side-New-York-NY_rb/,http://www.zillow.com/Lower-East-Side-New-York-NY/rentals/
Greenpoint,Williamsburg,https://www.walkscore.com/NY/New_York/Greenpoint,https://www.homeaway.com/results/refined/keywords:Williamsburg%2C+Brooklyn%2C+NY%2C+USA/page:1,http://www.zillow.com/homes/Greenpoint-New-York-NY_rb/,http://www.zillow.com/Greenpoint-New-York-NY/rentals/
Prospect Heights,Brooklyn,https://www.walkscore.com/NY/New_York/Prospect_Heights,https://www.homeaway.com/results/new-york/brooklyn/region:5166/page:1,http://www.zillow.com/homes/Prospect-Heights-New-York-NY_rb/,http://www.zillow.com/Prospect-Heights-New-York-NY/rentals/
Sutton Place,Midtown,https://www.walkscore.com/NY/New_York/Midtown_East,https://www.homeaway.com/results/new-york/sutton-place/region:22552/page:1,http://www.zillow.com/homes/Sutton-Place-New-York-NY_rb/,http://www.zillow.com/Sutton-Place-New-York-NY/rentals/
Kips Bay,Midtown,https://www.walkscore.com/NY/New_York/Kips_Bay,https://www.homeaway.com/results/new-york/turtle-bay/region:22556/page:1,http://www.zillow.com/homes/Midtown-New-York-NY_rb/,http://www.zillow.com/Midtown-New-York-NY/rentals/
Crown Heights,Brooklyn,https://www.walkscore.com/NY/New_York/Crown_Heights,https://www.homeaway.com/results/new-york/brooklyn/region:5166/page:1,http://www.zillow.com/homes/Crown-Heights-New-York-NY_rb/,http://www.zillow.com/Crown-Heights-New-York-NY/rentals/
Bushwick,Brooklyn,https://www.walkscore.com/NY/New_York/Bushwick,https://www.homeaway.com/results/new-york/brooklyn/region:5166/page:1,http://www.zillow.com/homes/Bushwick-New-York-NY_rb/,http://www.zillow.com/Bushwick-New-York-NY/rentals/
Bedford-Stuyvesant,Brooklyn,https://www.walkscore.com/NY/New_York/Bedford-Stuyvesant,https://www.homeaway.com/results/new-york/brooklyn/region:5166/page:1,http://www.zillow.com/homes/Bedford-Stuyvesant-New-York-NY_rb/,http://www.zillow.com/Bedford-Stuyvesant-New-York-NY/rentals/
