Neighborhood,Area,Walk_Score_Link,HomeAway_Link,Zillow_Links,new_zillow_links,Streeteasy
East Village,Lower Manhattan,https://www.walkscore.com/NY/New_York/East_Village,https://www.homeaway.com/results/new-york/east-village/region:24290/,http://www.zillow.com/East-Village-New-York-NY/rentals/,http://www.zillow.com/East-Village-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/east-village
Midtown South,Midtown,https://www.walkscore.com/NY/New_York/Murray_Hill,https://www.homeaway.com/results/new-york/midtown-manhattan/region:5779/,http://www.zillow.com/Midtown-New-York-NY/rentals/,http://www.zillow.com/Midtown-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/midtown-south
Upper East Side,Upper East Side,https://www.walkscore.com/NY/New_York/Upper_East_Side,https://www.homeaway.com/results/new-york/upper-east-side/region:22558/,http://www.zillow.com/Upper-East-Side-New-York-NY/rentals/,http://www.zillow.com/Upper-East-Side-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/upper-east-side
Turtle Bay,Midtown,https://www.walkscore.com/NY/New_York/Murray_Hill,https://www.homeaway.com/results/new-york/turtle-bay/region:22556/,http://www.zillow.com/Turtle-Bay-New-York-NY/rentals/,http://www.zillow.com/Turtle-Bay-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/turtlebay
Boerum Hill,Brooklyn,https://www.walkscore.com/NY/New_York/Boerum_Hill,https://www.homeaway.com/results/new-york/brooklyn/region:5166/,http://www.zillow.com/Boerum-Hill-New-York-NY/rentals/,http://www.zillow.com/Boerum-Hill-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/boerum-hill
Williamsburg,Brooklyn,https://www.walkscore.com/NY/New_York/Williamsburg,https://www.homeaway.com/results/refined/keywords:Williamsburg%2C+Brooklyn%2C+NY%2C+USA/,http://www.zillow.com/Williamsburg-New-York-NY/rentals/,http://www.zillow.com/Williamsburg-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/williamsburg
Carroll Gardens,Brooklyn,https://www.walkscore.com/NY/New_York/Carroll_Gardens,https://www.homeaway.com/results/world/region:1/keywords:Carroll+Gardens%2C+Brooklyn%2C+NY%2C+USA,http://www.zillow.com/Carroll-Gardens-New-York-NY/rentals/,http://www.zillow.com/Carroll-Gardens-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/carroll-gardens
Murray Hill,Midtown,https://www.walkscore.com/NY/New_York/Murray_Hill,https://www.homeaway.com/results/new-york/murray-hill/region:22546/,http://www.zillow.com/Midtown-New-York-NY/rentals/,http://www.zillow.com/Midtown-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/murray-hill
Midtown East,Midtown,https://www.walkscore.com/NY/New_York/Midtown_East,https://www.homeaway.com/results/new-york/turtle-bay/region:22556/,http://www.zillow.com/Midtown-New-York-NY/rentals/,http://www.zillow.com/Midtown-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/midtown-east
Brooklyn Heights,Brooklyn,https://www.walkscore.com/NY/New_York/Brooklyn_Heights,https://www.homeaway.com/results/new-york/brooklyn/region:5166/,http://www.zillow.com/Brooklyn-Heights-New-York-NY/rentals/,http://www.zillow.com/Brooklyn-Heights-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/brooklyn-heights
