,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
147,"Mountain View, CA",Google,2adb6c786ee9d819,"Product Analyst, Data Science",,52.800003,1218,30+ days,2016-10-16 00:31:42.416696
148,"San Jose, CA",ForeScout,fd82098092f4ff74,Data Scientist,,,,30+ days,2016-10-16 00:31:42.416696
149,"Mountain View, CA 94043",Qeexo,263451f7b7f3d0cf,"Machine Learning Engineer, Implementation",,,,8 days,2016-10-16 00:31:42.416696
150,"Menlo Park, CA",Facebook,60a7f391797e8d44,"Quantitative Researcher, Growth",,51.0,112,30+ days,2016-10-16 00:31:42.416696
151,"Santa Clara Valley, CA",Apple,cf39702e8f8ac1c9,"Data Scientist (Machine Learning & Natural Language), Siri",,52.800003,2568,30+ days,2016-10-16 00:31:42.416696
152,"Sunnyvale, CA",TARGET,64644d85c0242c81,Lead Data Scientist,,43.8,18685,10 days,2016-10-16 00:31:42.416696
153,"Santa Clara, CA",NVIDIA,1511b4681f3aa821,Data Scientist with Data engineering knowledge,,51.6,88,30+ days,2016-10-16 00:31:42.416696
154,"Mountain View, CA",DataVisor,21f518b548912462,Software Engineering Intern,,,,2 days,2016-10-16 00:31:42.416696
155,"Santa Clara, CA",NVIDIA,14e24f24555f348b,Data Scientist for Engineering,,51.6,88,30+ days,2016-10-16 00:31:42.416696
156,"Menlo Park, CA",Facebook,6339f1aff8e3d7bf,"Data Scientist, Infrastructure Strategy",,51.0,112,29 days,2016-10-16 00:31:42.416696
157,"San Jose, CA 95113 (Downtown area)",Jobspring Partners,03e1ef1872500a4a,Machine Learning Engineer - Artificial Intelligence,"$150,000 - $200,000 a year",40.8,12,30+ days,2016-10-16 00:31:42.416696
158,"Sunnyvale, CA","Pharmacyclics, LLC",d55836ae7c5273c6,Scientist 1,,,,10 days,2016-10-16 00:31:42.416696
159,"Santa Clara, CA 95054",Chegg,9db792234a62b66b,"Data Scientist, Customer Success & Student Outcomes",,40.8,26,30+ days,2016-10-16 00:31:42.416696
160,"Santa Clara, CA",Keysight Technologies,959cea9a5d752de9,Mixed-Signal/Digital ASIC Research Lead,,51.6,19,3 days,2016-10-16 00:31:42.416696
161,"Menlo Park, CA 94025",PRO Unlimited @ facebook,9fc3bde35b154512,Research Analyst,,54.0,2,3 days,2016-10-16 00:31:42.416696
162,"Palo Alto, CA",A9.com,49e21ae3de836fa1,Data Sciences Engineer - Search Insights,,54.0,2,30+ days,2016-10-16 00:31:42.416696
163,"Palo Alto, CA",Tesla Motors,f7e902f79adadf5e,Staff Data Scientist,,42.6,296,30+ days,2016-10-16 00:31:42.416696
164,"Sunnyvale, CA",Paragon systems,25995fd44dc9e84b,Data Scientist,,,,30+ days,2016-10-16 00:31:42.416696
165,"San Jose, CA",Adecco: USA,d001e224bb0279bb,Data Scientist (Forecasting),,44.4,10,10 days,2016-10-16 00:31:42.416696
166,"Redwood Shores, CA",Oracle,bc5611550121634d,Big Data Engineer,,44.4,1012,1 day,2016-10-16 00:31:42.416696
167,"Santa Clara, CA",Danaher Labs,baf706bd31f38831,Data Scientist - Intern,,43.2,96,26 days,2016-10-16 00:31:42.416696
168,"Palo Alto, CA",SAP,ad39879800c4c426,Data Scientist - SAP Innovation Center Network Job,,52.800003,405,30+ days,2016-10-16 00:31:42.416696
169,"Mountain View, CA",Siemens,a8be9fb3b31badac,Data Analyst,,51.6,4061,13 days,2016-10-16 00:31:42.416696
170,"Palo Alto, CA","PARC, a Xerox company",cc8472e6d366c08b,Member of Research Staff - Machine Learning,,,,4 days,2016-10-16 00:31:42.416696
171,"Mountain View, CA",Google,ac20581df9c277f1,"Cloud Instructor (Big Data, Machine Learning), Google Cloud...",,52.800003,1218,15 days,2016-10-16 00:31:42.416696
172,"Santa Clara, CA",Intellipro Group Inc.,40e000c75d051241,"Staff Engineer, Big Data",,,,30+ days,2016-10-16 00:31:42.416696
173,"Santa Clara, CA 95054",Varentec,a5df53b081d25bdc,Power System Simulation and Data Analysis Engineer,,,,30+ days,2016-10-16 00:31:42.416696
174,"San Jose, CA","Cisco Systems, Inc.",7c51130d9eb526a8,Software Engineer- Big Data,,51.6,1740,1 day,2016-10-16 00:31:42.416696
175,"Sunnyvale, CA",Appnomic Systems Pvt. Ltd,99f7632e57454e8e,USA - Data Scientist,,52.800003,4,30+ days,2016-10-16 00:31:42.416696
176,"Milpitas, CA",SanDisk,3458c92cf9474be2,Sr. Data Scientist Job,,44.4,86,30+ days,2016-10-16 00:31:42.416696
177,"Santa Clara, CA",NVIDIA,fb78022cba300747,DATA SCIENTIST,,51.6,88,30+ days,2016-10-16 00:31:42.416696
178,"Santa Clara, CA",netPolarity,e47c72b238a63cee,Data Scientist,,,,25 days,2016-10-16 00:31:42.416696
