,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
44,"Washington, DC",Applied Communication Sciences,18c98d831b92720c,Data Scientist,,,,29 days,2016-10-16 00:30:23.897629
45,"Arlington, VA 22203 (Bluemont area)",Management Sciences for Health,ead6c8879110bac0,Senior Data Scientist & Analytics Developer,,44.4,31,15 days,2016-10-16 00:30:23.897629
46,"Arlington, VA",CACI International Inc,fc362ab7404ab7a7,Data Scientist Job,,44.4,815,21 days,2016-10-16 00:30:23.897629
47,"Alexandria, VA",Booz Allen Hamilton,32b610bb822b811f,Data Scientist / Curator,,44.4,945,9 days,2016-10-16 00:30:23.897629
48,"Chevy Chase, MD",GEICO,14def57d7652fb1c,"Competitive Intelligence Analyst - Business Analyst, Researc...",,42.6,1429,22 hours,2016-10-16 00:30:23.897629
49,"Washington, DC",Salient CRGT,dc7608cfb6dd8d34,Data Analyst 4 (Statistician),,42.6,5,3 days,2016-10-16 00:30:23.897629
50,"Washington, DC",The Advisory Board Company,da4fb1ef7445bca8,"Associate Data Scientist, EAB (Full Time, Starting Summer 20...",,42.6,69,30+ days,2016-10-16 00:30:23.897629
51,"McLean, VA",Booz Allen Hamilton,72f0e61fdb018894,Language-Enabled Data Scientist,,44.4,945,3 days,2016-10-16 00:30:23.897629
52,"Adelphi, MD",ICF,3990d15eedc1f7b6,Data Scientist,,40.8,233,30+ days,2016-10-16 00:30:23.897629
53,"College Park, MD","INNOVIM, LLC",dbf2f382b68db8b2,Scientist - Global Ocean Data,,39.0,2,30+ days,2016-10-16 00:30:23.897629
54,"Silver Spring, MD",Vencore,b86ce125f52aacc8,Remote Sensing Data Scientist II,,42.0,43,5 days,2016-10-16 00:30:23.897629
55,"College Park, MD","Riverside Technology, inc.",a66bf956ac0724aa,Scientific Programmer,,,,23 days,2016-10-16 00:30:23.897629
56,"Washington, DC",IC-CAP,b44e9efd982604e8,Data Scientist,,,,30+ days,2016-10-16 00:30:23.897629
57,"McLean, VA",Capital One,b38b9dff604e9372,Principal Data Scientist,,44.4,2904,2 days,2016-10-16 00:30:23.897629
58,"Washington, DC",Salient CRGT,35bb9e9eb556eda7,Statistician,,,,3 days,2016-10-16 00:30:23.897629
59,"Washington, DC",OBXtek,03be8cd09ec4b070,Counterterrorism Communications Data Scientist,,40.2,6,30+ days,2016-10-16 00:30:23.897629
60,"Silver Spring, MD",ICF,40ffe9e86447a01f,Data Scientist/Engineer,,40.8,233,5 days,2016-10-16 00:30:23.897629
61,"Washington, DC",Aptima,982c46438b1bfbeb,Data Scientist/Software Engineer,,,,30+ days,2016-10-16 00:30:23.897629
62,"Silver Spring, MD",3M,65717a55ed9fa80b,"3M HIS NLP Machine Learning Engineer (Silver Spring, MD) Job",,51.6,1413,30+ days,2016-10-16 00:30:23.897629
63,"Washington, DC 20036 (Downtown area)",KPMG,29ebd395ee097483,Sr Associate - Data Scientist,,51.0,1768,23 days,2016-10-16 00:30:23.897629
64,"Reston, VA",Praxis Engineering,87b0d27bfa179faf,Data Scientist,,55.800003,9,5 days,2016-10-16 00:30:23.897629
65,"Washington, DC 20032 (Anacostia area)",Lexington Solutions Group,1bdc6563410ec780,Data Scientist,,,,30+ days,2016-10-16 00:30:23.897629
66,"Washington, DC",Centra Technology,b8a79162f9570db6,"Quantitative Analyst (Junior, Mid-level, Senior-level)",,42.0,2,1 day,2016-10-16 00:30:23.897629
67,"Chantilly, VA","Commonwealth Computer Research, Inc.",e898200dbea8f15a,Data Scientist,,,,10 days,2016-10-16 00:30:23.897629
68,"Arlington, VA",Halfaker and Associates,8a05886cb4e40fd5,Data Scientist,,52.800003,4,30+ days,2016-10-16 00:30:23.897629
69,"Chantilly, VA",CCRi,b61963f14efcec9f,Data Scientist,,42.0,11,10 days,2016-10-16 00:30:23.897629
70,"Washington, DC",Plus3 IT Systems,0c3d7ede3d7f442e,Data Scientist - Architect,,,,14 days,2016-10-16 00:30:23.897629
71,"Crystal City, VA",Novetta,cea83a07c73b1d5d,Data Scientist/Data Engineer,,,,30+ days,2016-10-16 00:30:23.897629
72,"Washington, DC",Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,bf1d76793978de2b,Statistician,,,,30 days,2016-10-16 00:30:23.897629
73,"Arlington, VA 22202 (Aurora Highlands area)",DECISIVE ANALYTICS Corporation,cdd8197750071717,Machine Learning Software Engineer Internship,,55.199997,9,8 days,2016-10-16 00:30:23.897629
74,"Bethesda, MD",SESDA,443b85c4311080e1,Scientific Software Programmer,,,,12 days,2016-10-16 00:30:23.897629
75,"McLean, VA",Vencore,d44197a5aaf6727f,Statistician I,,42.0,43,5 days,2016-10-16 00:30:23.897629
76,"Washington, DC 20005 (Logan Circle area)",Google,09cae37580ecb4f9,"Cloud Instructor (Big Data, Machine Learning), Google Cloud...",,52.800003,1218,2 days,2016-10-16 00:30:23.897629
77,"Washington, DC 20005 (Logan Circle area)",ONE Campaign,c22bed63c6366ca3,Data Scientist (London),,54.0,2,30+ days,2016-10-16 00:30:23.897629
78,"Washington, DC","Dawnbreaker, Inc.",57bb7830a568e369,Research Analyst,,,,4 days,2016-10-16 00:30:23.897629
79,"Reston, VA 20191",Engility Corporation,263c42ac75cc186e,Data Scientist,,43.2,243,29 days,2016-10-16 00:30:23.897629
80,"Washington, DC",GEICO,aa09e213659acc2b,Lead Data Scientist,,42.6,1429,5 days,2016-10-16 00:30:23.897629
81,"Washington, DC",T3 Trading Group LLC,54c3e02732405a28,Statistical Pairs Trading Positions,,51.0,4,21 days,2016-10-16 00:30:23.897629
82,"Bethesda, MD 20814","The Cadmus Group, Inc.",179ffe45f00f8785,"Research Analyst, Environmental and Climate Change Programs",,,,2 days,2016-10-16 00:30:23.897629
83,"Lanham, MD",Bay State,35be1e218d679620,Greenplum Data Scientist SME,,52.800003,3,30+ days,2016-10-16 00:30:23.897629
84,"Washington, DC",ONE,6b2862afcb74b42c,"Data Scientist (Washington, DC)",,52.800003,33,30+ days,2016-10-16 00:30:23.897629
85,"Washington, DC 20005 (Logan Circle area)",ONE Campaign,04f93ac6c62d82a9,"Data Scientist (Washington, DC)",,54.0,2,30+ days,2016-10-16 00:30:23.897629
86,"Arlington, VA",SapientNitro,bc30fee7cabd4436,"Senior Associate, Data Scientist, Advanced Analytics",,42.6,25,30+ days,2016-10-16 00:30:23.897629
87,"Washington, DC 20036 (Downtown area)",American Chemical Society,7351297efb958c07,Data Manager,,51.0,29,10 days,2016-10-16 00:30:23.897629
88,"Washington, DC 20036 (Downtown area)",Unisys,c1198995c2869a82,Operations Research Analyst,,43.2,645,4 days,2016-10-16 00:30:23.897629
89,"Silver Spring, MD",Advanced Resource Technologies Inc,fb62f5ee66af4cd9,Oceanographic Data Analyst - Tidal Analysis,,,,8 days,2016-10-16 00:30:23.897629
90,"Washington, DC",Emerson Howell Nagel & Associates,2a9e660cffc7b5b7,Data Scientist/Engineer (4 month contract),,,,30+ days,2016-10-16 00:30:23.897629
91,"Arlington, VA 22201 (Lyon Village area)",CNA Corp.,a25406e01e7ebfda,Research Scientist,,,,5 days,2016-10-16 00:30:23.897629
92,"Chevy Chase, MD",GEICO,d2479751e953323f,"Modeling Analyst - Data Mining, Statistical Analysis and Dec...",,42.6,1429,30+ days,2016-10-16 00:30:23.897629
93,"Bethesda, MD",National Opinion Research Center (NORC),6539d50aa1085d0b,Data Scientist,,,,30+ days,2016-10-16 00:30:23.897629
94,"Arlington, VA",Booz Allen Hamilton,8f4f2a7c861f65da,"Machine Learning Technology Consultant, Mid",,44.4,945,13 days,2016-10-16 00:30:23.897629
95,"Arlington, VA",Invincea,c029c13a64a2a231,Principal Research Engineer - Data Science,,,,21 days,2016-10-16 00:30:23.897629
96,"Arlington, VA 22202 (Aurora Highlands area)","Project Support Services, Inc.",ac638d1698548eb8,Statistician,,,,30+ days,2016-10-16 00:30:23.897629
97,"Washington, DC",American Association for Cancer Research,46e3e1096c3ed4e2,Senior Science Policy Analyst,,,,11 days,2016-10-16 00:30:23.897629
98,"Springfield, VA",CACI International Inc,c2b11e097b02968f,Statistician/Data Scientist Job,,44.4,815,11 days,2016-10-16 00:30:23.897629
99,"Alexandria, VA 22314 (Southwest Quadrant area)",Grant Thornton,119ac529c5a63f68,Data Scientist,,44.4,210,30+ days,2016-10-16 00:30:23.897629
100,"Washington, DC",U.S. Department of Labor,985936f5ce39e730,Research Statistician,"$77,490 - $119,794 a year",51.0,264,3 days,2016-10-16 00:30:23.897629
101,"Greenbelt, MD 20771","ADNET Systems, Inc.",e3f8b4a95995518f,Scientific Software Programmer,,54.0,4,12 days,2016-10-16 00:30:23.897629
102,"McLean, VA",Jobspring Partners,b8db058a6e0bed00,Data Scientist,"$130,000 - $160,000 a year",40.8,12,2 days,2016-10-16 00:30:23.897629
103,"Washington, DC",ONE,5508cb756070cc39,Data Scientist (London),,52.800003,33,30+ days,2016-10-16 00:30:23.897629
104,"Washington, DC 20036 (Downtown area)",KPMG,9e5e70fcef59fcf1,Data Visualization Software Engineer,,51.0,1768,1 day,2016-10-16 00:30:23.897629
105,"Alexandria, VA",Selby Jennings,6138be2832646d68,Data Scientist,"$125,000 - $175,000 a year",,,22 days,2016-10-16 00:30:23.897629
106,"Arlington, VA",ECS Federal LLC,7fdc92f63beab541,Mathematician / Statistician,,43.8,14,18 days,2016-10-16 00:30:23.897629
107,"Washington, DC","Big Sky Associates, Inc.",a6f4f7dd1c4e1f36,Part Time Internship: Data Analysis,,,,2 days,2016-10-16 00:30:23.897629
108,"Washington, DC",Gallup,d231a51fa8ca2cf6,Data Scientist – Predictive Analytics,,44.4,61,30+ days,2016-10-16 00:30:23.897629
109,"Arlington, VA",AvalonBay Communities,1dadb33b14f90b16,Data Scientist – Predictive Analytics,,43.2,153,30+ days,2016-10-16 00:30:23.897629
110,"Washington, DC 20036 (Downtown area)",Verto Solutions,7b76eb38f827baed,Scientific Associate,,,,1 day,2016-10-16 00:30:23.897629
111,"College Park, MD",Vencore,66001ae55cff0086,Senior Data Scientist,,42.0,43,30+ days,2016-10-16 00:30:23.897629
112,"Bethesda, MD 20814","Econometrica, Inc.",e9712ff1a6ec19e4,Data Scientist,,,,30+ days,2016-10-16 00:30:23.897629
113,"Bethesda, MD",Vencore,8a2a3e10e2580f6c,Predictive Modeling Analyst I,,42.0,43,30+ days,2016-10-16 00:30:23.897629
114,"Washington, DC","The Oakleaf Group, LLC",ff9f9f95445b9f7a,Data Scientist/Engineer,,,,30+ days,2016-10-16 00:30:23.897629
115,"Washington, DC",Crowdskout,45af2aa870b0c18e,Data Scientist,,,,30+ days,2016-10-16 00:30:23.897629
116,"Washington, DC",Dept of Forensic Sciences,607ff3c2be7a479d,Information Technology Specialist (LIMS),"$81,050 - $104,423 a year",,,2 days,2016-10-16 00:30:23.897629
117,"Springfield, VA",Concurrent Technologies Corporation,5b11b5f9c12d47b4,Associate Data Scientist,,42.0,30,29 days,2016-10-16 00:30:23.897629
118,"Arlington, VA",i_SW Corp,12ba28fa6dc10879,Mathematician / Statistician,,,,18 days,2016-10-16 00:30:23.897629
119,"McLean, VA","Cognosante, LLC",30841bb9b4d49d10,Data Analyst Intern,,44.4,14,1 hour,2016-10-16 00:30:23.897629
120,"McLean, VA",Mitre Corporation,b4b9afac73426fdc,Operations Research Analyst / Statistician,,51.6,106,10 days,2016-10-16 00:30:23.897629
121,"Vienna, VA",Capital One,151f266f77435721,Machine Learning Data Engineer,,44.4,2904,10 days,2016-10-16 00:30:23.897629
122,"Washington, DC 20001 (Shaw area)",IMTAS,64c603ac1b2b1232,Senior Data Scientist,,,,30+ days,2016-10-16 00:30:23.897629
123,"Adelphi, MD",HelioCampus,f0f2dbbeb121f308,Data Scientist,,,,30+ days,2016-10-16 00:30:23.897629
124,"Washington, DC",GinasTechJobs.com,2c3ea35bcade6207,Data Scientist,,,,23 days,2016-10-16 00:30:23.897629
125,"Washington, DC",Next Step Systems,11feb2aee82fba4d,Data Scientist,,,,23 days,2016-10-16 00:30:23.897629
