,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
43,"Los Angeles, CA",Cedars-Sinai,56814a10e6f80018,Data Analyst CALNOC Research,,52.199997,192,30 days,2016-10-16 00:29:05.084612
44,"Santa Monica, CA 90404",Red Bull,737c7847cbe42760,"Senior Data Scientist, Data Services",,51.6,397,30+ days,2016-10-16 00:29:05.084612
45,"Los Angeles, CA",UCLA Health,2c7a6a2a7e754cd3,"Statistician, Data Analyst - Westwood",,42.0,23,30+ days,2016-10-16 00:29:05.084612
46,"Torrance, CA 90505",Saatchi & Saatchi LA,62447926032fa3e5,Data Scientist,,51.0,6,30+ days,2016-10-16 00:29:05.084612
47,"Los Angeles, CA 90024",eHarmony,7a82cefcb7d29828,"Director, Data Science",,42.0,6,30+ days,2016-10-16 00:29:05.084612
48,"Beverly Hills, CA 90210",Netflix Inc.,c58373c8ae8efcc7,"Senior Data Scientist, Content Science & Algorithms",,43.8,239,8 days,2016-10-16 00:29:05.084612
49,"Beverly Hills, CA 90210",Netflix Inc.,23e81e8f0a416d3a,"Senior Data Scientist (NLP), Content Science & Algorithms",,43.8,239,8 days,2016-10-16 00:29:05.084612
50,"Pasadena, CA",California Institute of Technology,4299f9348c3cd236,Assistant Research Scientist,,51.6,64,1 day,2016-10-16 00:29:05.084612
51,"Los Angeles, CA",Riot Games,e7482796a2000576,Insights Analyst Intern (Undergraduate),,51.6,8,11 days,2016-10-16 00:29:05.084612
52,"Los Angeles, CA",Hain Solution,fe2f0bcfce864920,Tableau Subject Matter Expert (Scientist),"$12,000 a year",,,11 days,2016-10-16 00:29:05.084612
53,"Burbank, CA",The Walt Disney Studios,8d8946f2b320cb63,Data Engineer (Big Data),,52.800003,27,30+ days,2016-10-16 00:29:05.084612
54,"El Segundo, CA 90245",Bluestem,40ffc3462dab007f,Data Engineer,,41.4,9,4 days,2016-10-16 00:29:05.084612
55,"Los Angeles, CA",Los Angeles County Human Resources,47835b88294c375e,"RESEARCH ANALYST I, BEHAVIORAL SCIENCES/SPANISH","$50,010 - $62,134 a year",,,8 days,2016-10-16 00:29:05.084612
56,"Los Angeles, CA 90064",The Wonderful Company LLC,399de4e7cc062227,Statistical Analyst,,,,30+ days,2016-10-16 00:29:05.084612
57,"Los Angeles, CA",Selby Jennings,4647ea8278def3c0,Quantitative Analyst - Multiple Vacancies,"$120,000 a year",,,1 day,2016-10-16 00:29:05.084612
58,"Los Angeles, CA",Kelton Global,3a7332bd1ca73c88,"Senior Analyst, Quantitative Research",,,,4 days,2016-10-16 00:29:05.084612
59,"Burbank, CA",Kaiser Permanente,d1683a22d9570907,National Market Research Analyst,,52.199997,3799,18 days,2016-10-16 00:29:05.084612
60,"Los Angeles, CA",Google,04037d0f5e07d1a2,"Linguist, Text Classification",,52.800003,1218,30+ days,2016-10-16 00:29:05.084612
61,"Los Angeles, CA",Kelton Global,3970419448776354,"Analyst, Quantitative Research",,,,4 days,2016-10-16 00:29:05.084612
62,"Manhattan Beach, CA",PeerStreet,656c0b381c5f1ffd,Sr. Data Scientist,,,,29 days,2016-10-16 00:29:05.084612
63,"Los Angeles, CA",MarketShare,f5543ac9dbdf5011,Data Scientist,,43.2,6,30+ days,2016-10-16 00:29:05.084612
64,"Pasadena, CA",Spokeo,0db92119611ead98,Data Scientist,,,,30+ days,2016-10-16 00:29:05.084612
65,"Los Angeles, CA",Tessie Cleveland Community Service Corporation,a94b8de0b9630e89,Senior Research Analyst,"$56,000 a year",,,30+ days,2016-10-16 00:29:05.084612
66,"Pasadena, CA 91107",Raytheon,63b591a5b1219275,Software Integration and Deployment Engineer,,51.0,1247,1 day,2016-10-16 00:29:05.084612
67,"Los Angeles, CA 90031",Loot Crate,7b593adb533b7270,Senior Data Scientist,,60.0,4,30+ days,2016-10-16 00:29:05.084612
68,"Los Angeles, CA",Amyx,9a8746d61157dd5e,Statistician,,,,30+ days,2016-10-16 00:29:05.084612
69,"Burbank, CA",Kaiser Permanente,6b564df763fc128c,Data Production & Analysis Lead,,52.199997,3799,26 days,2016-10-16 00:29:05.084612
70,"Los Angeles, CA",UCLA Health,f96f31119377a697,Senior Statistician,,42.0,23,30+ days,2016-10-16 00:29:05.084612
71,"Los Angeles, CA",Los Angeles County Human Resources,06dca3794c6fbd39,"RESEARCH ANALYST III, BEHAVIORAL SCIENCES",,,,11 days,2016-10-16 00:29:05.084612
72,"Los Angeles, CA 90017",Uptown Treehouse,3d5f372c97399426,Data Scientist Internship,,,,30+ days,2016-10-16 00:29:05.084612
73,"Los Angeles, CA",Los Angeles County Department of Human Resources,c5a34645055fdfa3,SENIOR STATISTICAL CLERK,"$36,339 - $48,794 a year",,,9 days,2016-10-16 00:29:05.084612
74,"Los Angeles, CA 90045","CNC WORLDWIDE, INC",ac6afe96e639e14f,MARKET RESEARCH ANALYST,,,,18 days,2016-10-16 00:29:05.084612
75,"Los Angeles, CA",California State University,4c1f51c27586f981,SENIOR DASHBOARD DATA SCIENTIST (160050),"$6,249 - $10,857 a month",53.4,448,30+ days,2016-10-16 00:29:05.084612
76,"Los Angeles, CA",The Camstoll Group,38a844c3922f0939,"Research Analyst Intern, Los Angeles",,,,8 days,2016-10-16 00:29:05.084612
77,"Los Angeles, CA",University of Southern California,7eb62c4c912aa559,Clinical Research Data Specialist I,,52.199997,355,29 days,2016-10-16 00:29:05.084612
78,"Brea, CA 92821",Pacific Western Bank,e15995bc98e18ad6,Quantitative Analyst,,51.0,33,15 days,2016-10-16 00:29:05.084612
79,"Los Angeles, CA 90028",ZestFinance,d1b275b4c9d86ee4,"Vice President, Data Science",,51.0,2,30+ days,2016-10-16 00:29:05.084612
80,"Santa Monica, CA",Planet Pharma,6bf39bdc9b182612,Pharmacology Associate,,,,15 days,2016-10-16 00:29:05.084612
81,"Santa Monica, CA",Talent Merchants,b0a84d27b26265e8,Data Scientist,,,,30+ days,2016-10-16 00:29:05.084612
